row,type,title
1,3,امتیاز شما به پاسخدهی هنراموز به پرسش های هنرجویان چگونه است ؟
2,2,ایا هنرآموز پرسش های مستمر انجام میدهد ؟
3,1,نظرتان درباره نحوه برخورد هنرآموز با هنرجویان در لحظه اول چیست ؟
4,2,ایا هنر آموز از مطالب قبلی پرسش می‌کند ؟ 
5,3,امتیاز شما به اگاهی هنرآموز نسبت به مسائل روز چگونه است ؟
6,1,نظرتان درباره نحوه برخورد هنرآموز هنگام عصبانیت چیست ؟
7,2,ایا هنر اموز در تدریس از مشارکت هنرجویان استفاده میکند ؟
8,3,امتیاز شما به حضور به موقع هنرآموز چگونه است ؟
9,3,امتیاز شما به ترک به موقع هنرآموز چگونه است ؟
10,1,نظرتان در باره نحوه برخورد هنرآموز با اولیا چیست ؟
